#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=5, beta=0.1, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.00625                  0.00618809               
0.0125                   0.012377                 
0.01875                  0.0185666                
0.025                    0.024757                 
0.03125                  0.0309482                
0.0375                   0.0371402                
0.04375                  0.0433329                
0.05                     0.0495264                
0.05625                  0.0557207                
0.0625                   0.0619158                
0.06875                  0.0681116                
0.075                    0.0743082                
0.08125                  0.0805056                
0.0875                   0.0867038                
0.09375                  0.0929027                
0.1                      0.0991024                
0.10625                  0.105303                 
0.1125                   0.111504                 
0.11875                  0.117706                 
0.125                    0.123909                 
0.13125                  0.130113                 
0.1375                   0.136317                 
0.14375                  0.142522                 
0.15                     0.148728                 
0.15625                  0.154935                 
0.1625                   0.161142                 
0.16875                  0.16735                  
0.175                    0.173559                 
0.18125                  0.179769                 
0.1875                   0.18598                  
0.19375                  0.192191                 
0.2                      0.198403                 
0.20625                  0.204616                 
0.2125                   0.21083                  
0.21875                  0.217044                 
0.225                    0.223259                 
0.23125                  0.229475                 
0.2375                   0.235692                 
0.24375                  0.24191                  
0.25                     0.248128                 
0.25625                  0.254347                 
0.2625                   0.260567                 
0.26875                  0.266788                 
0.275                    0.273009                 
0.28125                  0.279231                 
0.2875                   0.285454                 
0.29375                  0.291678                 
0.3                      0.297903                 
0.30625                  0.304128                 
0.3125                   0.310354                 
0.31875                  0.316581                 
0.325                    0.322809                 
0.33125                  0.329037                 
0.3375                   0.335266                 
0.34375                  0.341496                 
0.35                     0.347727                 
0.35625                  0.353959                 
0.3625                   0.360191                 
0.36875                  0.366424                 
0.375                    0.372658                 
0.38125                  0.378893                 
0.3875                   0.385128                 
0.39375                  0.391365                 
0.4                      0.397602                 
0.40625                  0.403839                 
0.4125                   0.410078                 
0.41875                  0.416317                 
0.425                    0.422557                 
0.43125                  0.428798                 
0.4375                   0.43504                  
0.44375                  0.441283                 
0.45                     0.447526                 
0.45625                  0.45377                  
0.4625                   0.460015                 
0.46875                  0.46626                  
0.475                    0.472507                 
0.48125                  0.478754                 
0.4875                   0.485002                 
0.49375                  0.49125                  
0.5                      0.4975                   
0.50625                  0.50375                  
0.5125                   0.510001                 
0.51875                  0.516253                 
0.525                    0.522506                 
0.53125                  0.528759                 
0.5375                   0.535013                 
0.54375                  0.541268                 
0.55                     0.547524                 
0.55625                  0.553781                 
0.5625                   0.560038                 
0.56875                  0.566296                 
0.575                    0.572555                 
0.58125                  0.578815                 
0.5875                   0.585075                 
0.59375                  0.591336                 
0.6                      0.597598                 
0.60625                  0.603861                 
0.6125                   0.610125                 
0.61875                  0.616389                 
0.625                    0.622654                 
0.63125                  0.62892                  
0.6375                   0.635187                 
0.64375                  0.641454                 
0.65                     0.647723                 
0.65625                  0.653992                 
0.6625                   0.660262                 
0.66875                  0.666532                 
0.675                    0.672804                 
0.68125                  0.679076                 
0.6875                   0.685349                 
0.69375                  0.691623                 
0.7                      0.697897                 
0.70625                  0.704173                 
0.7125                   0.710449                 
0.71875                  0.716726                 
0.725                    0.723003                 
0.73125                  0.729282                 
0.7375                   0.735561                 
0.74375                  0.741841                 
0.75                     0.748122                 
0.75625                  0.754403                 
0.7625                   0.760686                 
0.76875                  0.766969                 
0.775                    0.773253                 
0.78125                  0.779538                 
0.7875                   0.785823                 
0.79375                  0.79211                  
0.8                      0.798397                 
0.80625                  0.804685                 
0.8125                   0.810973                 
0.81875                  0.817263                 
0.825                    0.823553                 
0.83125                  0.829844                 
0.8375                   0.836136                 
0.84375                  0.842429                 
0.85                     0.848722                 
0.85625                  0.855016                 
0.8625                   0.861311                 
0.86875                  0.867607                 
0.875                    0.873904                 
0.88125                  0.880201                 
0.8875                   0.886499                 
0.89375                  0.892798                 
0.9                      0.899098                 
0.90625                  0.905398                 
0.9125                   0.911699                 
0.91875                  0.918001                 
0.925                    0.924304                 
0.93125                  0.930608                 
0.9375                   0.936912                 
0.94375                  0.943218                 
0.95                     0.949524                 
0.95625                  0.95583                  
0.9625                   0.962138                 
0.96875                  0.968446                 
0.975                    0.974755                 
0.98125                  0.981065                 
0.9875                   0.987376                 
0.99375                  0.993688                 
1                        1                        
