#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=0.25, beta=0.5, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.00625                  0.00196871               
0.0125                   0.00396219               
0.01875                  0.00598074               
0.025                    0.00802468               
0.03125                  0.0100943                
0.0375                   0.01219                  
0.04375                  0.0143121                
0.05                     0.0164608                
0.05625                  0.0186366                
0.0625                   0.0208397                
0.06875                  0.0230705                
0.075                    0.0253295                
0.08125                  0.0276168                
0.0875                   0.0299329                
0.09375                  0.0322781                
0.1                      0.0346528                
0.10625                  0.0370574                
0.1125                   0.0394923                
0.11875                  0.0419577                
0.125                    0.0444542                
0.13125                  0.0469821                
0.1375                   0.0495418                
0.14375                  0.0521337                
0.15                     0.0547581                
0.15625                  0.0574156                
0.1625                   0.0601066                
0.16875                  0.0628313                
0.175                    0.0655904                
0.18125                  0.0683841                
0.1875                   0.071213                 
0.19375                  0.0740775                
0.2                      0.076978                 
0.20625                  0.079915                 
0.2125                   0.0828889                
0.21875                  0.0859002                
0.225                    0.0889495                
0.23125                  0.092037                 
0.2375                   0.0951635                
0.24375                  0.0983292                
0.25                     0.101535                 
0.25625                  0.104781                 
0.2625                   0.108067                 
0.26875                  0.111395                 
0.275                    0.114765                 
0.28125                  0.118178                 
0.2875                   0.121633                 
0.29375                  0.125132                 
0.3                      0.128674                 
0.30625                  0.132261                 
0.3125                   0.135894                 
0.31875                  0.139572                 
0.325                    0.143296                 
0.33125                  0.147067                 
0.3375                   0.150886                 
0.34375                  0.154753                 
0.35                     0.158668                 
0.35625                  0.162633                 
0.3625                   0.166647                 
0.36875                  0.170712                 
0.375                    0.174828                 
0.38125                  0.178996                 
0.3875                   0.183216                 
0.39375                  0.187489                 
0.4                      0.191816                 
0.40625                  0.196198                 
0.4125                   0.200634                 
0.41875                  0.205127                 
0.425                    0.209676                 
0.43125                  0.214282                 
0.4375                   0.218946                 
0.44375                  0.223669                 
0.45                     0.228451                 
0.45625                  0.233293                 
0.4625                   0.238196                 
0.46875                  0.243161                 
0.475                    0.248189                 
0.48125                  0.253279                 
0.4875                   0.258434                 
0.49375                  0.263653                 
0.5                      0.268939                 
0.50625                  0.27429                  
0.5125                   0.279709                 
0.51875                  0.285196                 
0.525                    0.290752                 
0.53125                  0.296378                 
0.5375                   0.302075                 
0.54375                  0.307843                 
0.55                     0.313684                 
0.55625                  0.319599                 
0.5625                   0.325588                 
0.56875                  0.331652                 
0.575                    0.337792                 
0.58125                  0.34401                  
0.5875                   0.350306                 
0.59375                  0.356681                 
0.6                      0.363136                 
0.60625                  0.369673                 
0.6125                   0.376291                 
0.61875                  0.382993                 
0.625                    0.389779                 
0.63125                  0.396651                 
0.6375                   0.403609                 
0.64375                  0.410655                 
0.65                     0.417789                 
0.65625                  0.425013                 
0.6625                   0.432328                 
0.66875                  0.439734                 
0.675                    0.447234                 
0.68125                  0.454829                 
0.6875                   0.462518                 
0.69375                  0.470305                 
0.7                      0.47819                  
0.70625                  0.486173                 
0.7125                   0.494257                 
0.71875                  0.502443                 
0.725                    0.510732                 
0.73125                  0.519125                 
0.7375                   0.527623                 
0.74375                  0.536229                 
0.75                     0.544943                 
0.75625                  0.553766                 
0.7625                   0.5627                   
0.76875                  0.571747                 
0.775                    0.580908                 
0.78125                  0.590183                 
0.7875                   0.599576                 
0.79375                  0.609086                 
0.8                      0.618717                 
0.80625                  0.628468                 
0.8125                   0.638342                 
0.81875                  0.64834                  
0.825                    0.658464                 
0.83125                  0.668715                 
0.8375                   0.679096                 
0.84375                  0.689606                 
0.85                     0.700249                 
0.85625                  0.711026                 
0.8625                   0.721939                 
0.86875                  0.732988                 
0.875                    0.744177                 
0.88125                  0.755507                 
0.8875                   0.766979                 
0.89375                  0.778595                 
0.9                      0.790357                 
0.90625                  0.802267                 
0.9125                   0.814328                 
0.91875                  0.826539                 
0.925                    0.838905                 
0.93125                  0.851426                 
0.9375                   0.864104                 
0.94375                  0.876942                 
0.95                     0.889942                 
0.95625                  0.903105                 
0.9625                   0.916433                 
0.96875                  0.929929                 
0.975                    0.943595                 
0.98125                  0.957433                 
0.9875                   0.971445                 
0.99375                  0.985633                 
1                        1                        
