#Details of numerical method ADR equation through Gauss-Seidel algorithm for alpha=1, beta=21, gamma=0.
#1-x_j/L                 2-Value                  
0                        0                        
0.00199601               3.23519e-11              
0.00399202               6.6089e-11               
0.00598802               1.0127e-10               
0.00798403               1.37958e-10              
0.00998004               1.76217e-10              
0.011976                 2.16113e-10              
0.0139721                2.57718e-10              
0.0159681                3.01104e-10              
0.0179641                3.46347e-10              
0.0199601                3.93528e-10              
0.0219561                4.42728e-10              
0.0239521                4.94036e-10              
0.0259481                5.47539e-10              
0.0279441                6.03334e-10              
0.0299401                6.61518e-10              
0.0319361                7.22192e-10              
0.0339321                7.85465e-10              
0.0359281                8.51446e-10              
0.0379242                9.20253e-10              
0.0399202                9.92006e-10              
0.0419162                1.06683e-09              
0.0439122                1.14486e-09              
0.0459082                1.22623e-09              
0.0479042                1.31108e-09              
0.0499002                1.39957e-09              
0.0518962                1.49184e-09              
0.0538922                1.58807e-09              
0.0558882                1.68841e-09              
0.0578842                1.79306e-09              
0.0598802                1.90218e-09              
0.0618762                2.01598e-09              
0.0638723                2.13464e-09              
0.0658683                2.25839e-09              
0.0678643                2.38744e-09              
0.0698603                2.52201e-09              
0.0718563                2.66234e-09              
0.0738523                2.80869e-09              
0.0758483                2.96129e-09              
0.0778443                3.12044e-09              
0.0798403                3.28639e-09              
0.0818363                3.45946e-09              
0.0838323                3.63993e-09              
0.0858283                3.82813e-09              
0.0878244                4.02438e-09              
0.0898204                4.22904e-09              
0.0918164                4.44247e-09              
0.0938124                4.66503e-09              
0.0958084                4.89712e-09              
0.0978044                5.13915e-09              
0.0998004                5.39154e-09              
0.101796                 5.65474e-09              
0.103792                 5.9292e-09               
0.105788                 6.21542e-09              
0.107784                 6.51389e-09              
0.10978                  6.82515e-09              
0.111776                 7.14973e-09              
0.113772                 7.4882e-09               
0.115768                 7.84117e-09              
0.117764                 8.20926e-09              
0.11976                  8.5931e-09               
0.121756                 8.99337e-09              
0.123752                 9.41079e-09              
0.125749                 9.84608e-09              
0.127745                 1.03e-08                 
0.129741                 1.07734e-08              
0.131737                 1.1267e-08               
0.133733                 1.17818e-08              
0.135729                 1.23186e-08              
0.137725                 1.28783e-08              
0.139721                 1.34621e-08              
0.141717                 1.40709e-08              
0.143713                 1.47057e-08              
0.145709                 1.53677e-08              
0.147705                 1.6058e-08               
0.149701                 1.67779e-08              
0.151697                 1.75286e-08              
0.153693                 1.83115e-08              
0.155689                 1.91279e-08              
0.157685                 1.99792e-08              
0.159681                 2.0867e-08               
0.161677                 2.17928e-08              
0.163673                 2.27582e-08              
0.165669                 2.3765e-08               
0.167665                 2.48149e-08              
0.169661                 2.59097e-08              
0.171657                 2.70514e-08              
0.173653                 2.8242e-08               
0.175649                 2.94836e-08              
0.177645                 3.07783e-08              
0.179641                 3.21285e-08              
0.181637                 3.35364e-08              
0.183633                 3.50047e-08              
0.185629                 3.65358e-08              
0.187625                 3.81325e-08              
0.189621                 3.97975e-08              
0.191617                 4.15338e-08              
0.193613                 4.33445e-08              
0.195609                 4.52327e-08              
0.197605                 4.72017e-08              
0.199601                 4.92551e-08              
0.201597                 5.13963e-08              
0.203593                 5.36292e-08              
0.205589                 5.59578e-08              
0.207585                 5.8386e-08               
0.209581                 6.09182e-08              
0.211577                 6.35588e-08              
0.213573                 6.63125e-08              
0.215569                 6.91841e-08              
0.217565                 7.21786e-08              
0.219561                 7.53014e-08              
0.221557                 7.85578e-08              
0.223553                 8.19537e-08              
0.225549                 8.54949e-08              
0.227545                 8.91878e-08              
0.229541                 9.30388e-08              
0.231537                 9.70547e-08              
0.233533                 1.01242e-07              
0.235529                 1.0561e-07               
0.237525                 1.10164e-07              
0.239521                 1.14913e-07              
0.241517                 1.19865e-07              
0.243513                 1.2503e-07               
0.245509                 1.30415e-07              
0.247505                 1.36031e-07              
0.249501                 1.41888e-07              
0.251497                 1.47995e-07              
0.253493                 1.54364e-07              
0.255489                 1.61006e-07              
0.257485                 1.67931e-07              
0.259481                 1.75154e-07              
0.261477                 1.82685e-07              
0.263473                 1.9054e-07               
0.265469                 1.9873e-07               
0.267465                 2.07271e-07              
0.269461                 2.16178e-07              
0.271457                 2.25466e-07              
0.273453                 2.35151e-07              
0.275449                 2.45252e-07              
